Date,Open,High,Low,Close,Volume
2019-04-15,264.4555067702841,264.5557489953575,263.39855608588397,264.2095031738281,49596700
2019-04-16,265.1024547795413,265.1571222461048,263.78125945588977,264.38262939453125,52153200
2019-04-17,265.5124353619759,265.5397690926411,263.31653297707317,263.7356872558594,58268300
2019-04-18,264.32797441445945,264.5284310701426,263.0158995420688,264.25506591796875,68708500
2019-04-22,263.48062407828985,264.63778935254624,263.3895023528606,264.4828796386719,40160100
2019-04-23,264.8563956616618,267.0978727820117,264.6195126001526,266.8609619140625,52246600
2019-04-24,266.77907774168386,267.1162031669084,266.1230401173583,266.2688293457031,50392900
2019-04-25,266.16855483908574,266.7699249057314,264.9020545188605,266.1047668457031,57770900
2019-04-26,266.15037437559397,267.41687485171263,265.3667607475285,267.343994140625,50916400
2019-04-29,267.43499572608096,268.2914896804123,267.3438740233232,267.76300048828125,57197700
2019-04-30,267.4168351730079,268.19132816985035,265.9863324543578,267.8997497558594,81111700
2019-05-01,268.53759243125614,268.7471696443583,265.87698788286133,265.8861083984375,71671900
2019-05-02,265.7675924907678,266.6969950618081,263.7994802188776,265.31201171875,65030200
2019-05-03,266.80637663652027,268.1913324152287,265.42139305136345,267.90887451171875,56543700
2019-05-06,263.5534819970056,267.252795716856,263.23456988878866,266.80633544921875,107198100
2019-05-07,264.37354903235183,264.9749190623249,260.41911078051135,262.35076904296875,144729900
2019-05-08,261.986328125,263.7175298309546,261.3849580532886,261.986328125,91568300
2019-05-09,259.890618656399,261.80403566432665,258.1320557337639,261.1935729980469,103471100
2019-05-10,260.24601562774177,263.2710793233992,257.2209519320844,262.5057067871094,112429300
2019-05-13,257.3302817296437,258.3052035482331,255.06147034536582,255.90884399414062,127290500
2019-05-14,256.93846430553225,259.7721914910918,256.8109161341228,258.22320556640625,77003200
2019-05-15,256.5739859785413,260.3826347094408,256.3644088048187,259.7357177734375,73956400
2019-05-16,260.4464297896372,263.5170399489043,260.3735490960863,262.1412048339844,76749600
2019-05-17,259.8085842961374,262.96119506782765,259.79034327135963,260.4463806152344,100353000
2019-05-20,258.82461019957157,260.5558120015349,257.96811591113016,258.7243957519531,62877600
2019-05-21,260.43733471606794,261.43961814058395,260.1822105540501,261.05694580078125,46847100
2019-05-22,260.09118551350207,261.2210174150325,259.7722732749056,260.25518798828125,49482500
2019-05-23,258.0045703082199,258.05011727417116,255.64466465906358,257.0751953125,98733800
2019-05-24,258.533032712057,258.95218714850694,257.0296213470882,257.6583251953125,55268100
2019-05-28,257.94076528518565,258.9065944737867,255.2437344079477,255.26194763183594,70029400
2019-05-29,254.13212231036903,254.5421284063858,252.1275553750113,253.54896545410156,104972900
2019-05-30,254.31438157079504,255.16178326073376,253.12988223730827,254.2415008544922,62523800
2019-05-31,251.66290761303156,252.50116092183544,250.7881722389072,250.8155059814453,86862800
2019-06-03,250.85195469609505,251.98178643796936,248.8291743736239,250.17770385742188,96428000
2019-06-04,252.50110507755943,255.7448382381284,252.04552426504753,255.60816955566406,77231900
2019-06-05,257.24822939674647,257.8495993593719,255.41681358094215,257.822265625,71169700
2019-06-06,258.1230657887104,260.1822728010616,257.46702809993315,259.4989013671875,69430400
2019-06-07,260.5284732804926,263.1890778332609,260.35535032296065,262.0956726074219,74272200
2019-06-10,263.6628600022089,264.98405560643573,263.2072791464684,263.29840087890625,60799100
2019-06-11,265.1389130877453,265.5124926917933,262.57855113899006,263.2345886230469,58641300
2019-06-12,262.99774894058646,263.5626647938962,262.2505896091022,262.76995849609375,47096300
2019-06-13,263.6902455801149,264.2187350482808,262.9795404177003,263.854248046875,48945200
2019-06-14,263.5625915527344,264.17305420272146,262.78809869539214,263.5625915527344,52324700
2019-06-17,263.79951048287074,264.4373347594465,263.4897188591315,263.662841796875,39205700
2019-06-18,265.503451540598,267.4897776007119,265.1389645736639,266.4237060546875,85434800
2019-06-19,266.56032308582957,267.56260643768195,265.5762807626584,267.0250244140625,78674400
2019-06-20,269.740263116014,269.9862667151364,267.0887797663679,269.57623291015625,116570000
2019-06-21,269.30347984983604,270.57614009245776,268.96471477680063,269.1844482421875,83309500
2019-06-24,269.39499399165487,269.71542925437603,268.6991342268477,268.85479736328125,47582700
2019-06-25,268.90971100319933,268.9371776791812,266.1079982863068,266.2178649902344,82028700
2019-06-26,267.124320257118,267.63705022176237,265.842495345507,265.9523620605469,51584900
2019-06-27,266.72139032206167,267.4080850610615,266.3368569155628,266.8953552246094,40355200
2019-06-28,267.8843288238513,268.7724556195718,267.36246177449874,268.2688903808594,59350900
2019-07-01,271.638210281342,271.8579716710566,269.4865604638,270.7043151855469,78705600
2019-07-02,270.65850858302764,271.46423511775396,269.8070135622463,271.4093017578125,61504500
2019-07-03,272.09602789610824,273.5976144178433,271.9495296055713,273.57928466796875,40898900
2019-07-05,272.3340493115074,273.43277235105023,271.02475771426157,273.2679443359375,51677300
2019-07-08,271.94032235054584,273.08481375407274,271.2169959598452,271.766357421875,45841800
