Date RSI14 RSI7 MACD STOCH5 STOCH14 PPO TREND10 TREND20 QUADTREND10 INTENSITY ADX14 AROONUP14 AROONDOWN14 AROON_DIFF CLOSE_MA_DIFF LIN_DEV QUAD_DEV PRICE_OSC VAR_RATIO MONEYFLOW
20111028   65.53515   73.39536    4.49828   81.74634   90.44871    5.47928   17.75327   26.58503    0.13653   15.43325   14.42122   92.85714    0.00000   92.85714   18.36098   14.52285    0.46049    0.07180   37.82763   24.83137
20111031   57.91865   56.94312    3.33601   69.70808   80.94648    4.09846   10.82982   21.20332   -0.00011    3.72372   14.27266   85.71429    0.00000   85.71429   -2.75321  -28.77053  -27.98552   11.25670   37.93562   22.83881
20111101   50.74742   43.96239    1.14063   48.49739   63.28473    1.57185    2.70812   13.74041   -4.53848    2.91023   13.58184   78.57143    7.14286   71.42857  -22.08295  -37.74816  -25.45103   16.65290   43.24587    7.78569
20111102   54.21830   51.32304    0.49783   42.75366   57.81289    0.55971    0.19657   10.46233   -4.79972    3.60159   12.66656   71.42857    0.00000   71.42857  -10.45710  -15.48945   12.00096   23.50609   43.80018   17.21301
20111103   57.85095   58.53856    0.53514   50.01217   61.53601    0.67056    0.00609   10.58238   -0.51072    9.07219   12.32007   64.28571   14.28571   50.00000    3.14810    9.85959   21.78198    8.40597   37.43004   19.85559
20111104   56.21433   55.28128    0.20849   51.93290   61.50669    0.29451   -0.00013    7.32288   -0.09066    9.44584   11.99834   57.14286    7.14286   50.00000    1.37877    2.63455    8.95935   15.02511   13.80886   18.82833
20111107   57.52519   58.04054    0.23033   66.34883   63.36553    0.23698    0.00835    7.17771   -0.01946   14.73947   11.90660   50.00000    0.00000   50.00000    9.93498    7.41546   11.07980   -2.12072   18.82925   20.38761
20111108   60.19093   63.49801    0.59300   76.67354   70.22971    0.70362    0.00158    8.10362    1.66493   19.16983   12.29375   42.85714    7.14286   35.71429   17.99741   21.03118    6.65925  -16.11700   -0.09215   35.17373
20111109   50.28800   44.03112   -0.81188   53.05370   53.73955   -0.98569   -0.53594    3.80013    0.91541    9.91411   11.62758   35.71429    0.00000   35.71429  -15.94271  -18.17735  -32.18726    1.92133   14.26084   18.46764
20111110   52.36237   48.55341   -1.12000   44.80071   47.64066   -1.65883   -0.08960    2.28408    0.01802    3.69964   11.00899   28.57143   50.00000  -21.42857   -8.50971   -6.13210  -10.13958   -7.43206   18.12184   16.19299
20111111   56.32179   56.77334   -0.79549   54.41504   53.44818   -1.17784    0.36603    2.34740   -0.08302    8.66634   11.07666   21.42857   42.85714  -21.42857    7.10318   10.86646   18.01851    4.51275   21.47659   15.15737
20111114   53.84998   51.81978   -0.93827   53.07266   52.25657   -1.39279    0.95073    1.13759   -1.72145    1.85199   10.81467   14.28571   35.71429  -21.42857   -1.06195   -9.54537   10.22846    9.57982   20.46254   19.97359
20111115   54.95001   54.22699   -0.82337   58.76573   54.07805   -1.31081    0.02290    0.86319   -0.00924    9.64577   10.49500    7.14286   28.57143  -21.42857    3.56605    5.33092    8.65821    1.87250    0.79973   34.02947
20111116   50.74767   45.64406   -1.45162   47.15304   47.69361   -2.08319   -0.37958    0.14212   -0.00000    2.47896    9.87832    0.00000   21.42857  -21.42857   -6.33108  -16.38377  -16.36100  -18.83285  -14.05848   20.20886
20111117   46.93973   38.61956   -2.53063   36.15130   35.76503   -3.34945   -2.06509   -0.01072   -0.47532   -8.79526    9.97586    0.00000  100.00000 -100.00000  -18.60366  -27.55580  -17.38918  -12.91147   20.04951    3.92109
20111118   46.69076   38.16737   -3.17650   28.12018   27.52526   -4.11855   -6.38466   -0.34012   -0.40928  -14.38345   10.06643    0.00000   92.85714  -92.85714  -17.26527  -14.86638   -1.94009  -26.94263   22.90574   -5.91406
20111121   42.37132   30.68613   -4.33331   22.90319   21.94321   -5.42202  -10.41027   -1.25835   -1.09616  -14.66435   11.01364   35.71429  100.00000  -64.28571  -24.23368  -25.07127   -7.50615  -19.52010   38.84708  -11.38765
20111122   41.53301   29.32741   -5.08925   18.12473   16.97970   -6.22574  -13.27733   -4.61707   -5.90697  -14.39344   11.92996   28.57143  100.00000  -71.42857  -21.18733  -18.25708   26.70064  -20.01383   29.70213  -21.29186
20111123   37.10887   22.75121   -6.34229   12.08315   11.31980   -7.55243  -24.44829   -9.09085   -1.23802  -21.43008   13.31550   21.42857  100.00000  -78.57143  -27.80347  -27.47930    3.32489  -14.90673   38.74142  -20.36894
20111125   36.75614   22.26397   -6.97355    8.76790    7.94134   -8.11592  -38.91890  -11.89205   -0.04203  -18.27317   14.69563   14.28571  100.00000  -85.71429  -22.70312    0.18887   21.57325  -26.58151   40.64205  -29.47728
20111128   45.32845   43.78004   -5.63835   34.03811   15.19274   -6.66225  -23.04338   -8.62300    0.28418  -14.37725   14.80287    7.14286   92.85714  -85.71429    6.21976   41.62356   34.94418   -1.66537   23.91864  -30.15509
20111129   46.12200   45.55403   -4.57687   49.42828   21.53604   -5.26181  -16.22290  -10.44693    4.87770  -11.85024   14.55160    0.00000   85.71429  -85.71429   11.46945   34.09284   12.74703  -17.83780   28.40915  -28.74726
20111130   56.09273   64.52595   -1.58563   65.43554   40.40178   -2.03697   -0.16511   -6.89386   14.05508   -4.55984   14.21484   21.42857   78.57143  -57.14286   35.20583   38.39951   25.31082   15.59776   49.49883  -16.79969
20111201   56.04760   64.42014    0.21508   74.59123   52.91981    0.10513    0.84029   -5.34790   18.70321   -1.91832   14.03055   14.28571   71.42857  -57.14286   31.06445   24.89763  -18.83856   -4.19893   49.74773   -9.07564
