Date,RSI14,RSI7,MACD,STOCH5,STOCH14,PPO,TREND10,TREND20,QUADTREND10,INTENSITY,ADX14,AROONUP14,AROONDOWN14,AROON_DIFF,CLOSE_MA_DIFF,LIN_DEV,QUAD_DEV,PRICE_OSC,VAR_RATIO,MONEYFLOW,Open,High,Low,Close,Volume,dix,gex,target,return
20111216,47.68239,43.03031,-1.36853,22.15421,49.99777,-1.54541,-21.40987,3.57061,-0.0013,-27.63065,11.59834,50.0,0.0,50.0,-7.5652,17.18731,19.88812,-28.91401,-1.42422,-24.25846,96.29870785131617,96.86595362240378,95.56600863483791,95.7944793701172,220481400,0.455177073,809948927.7,0,-0.010691404744865074
20111219,44.43515,36.19806,-2.01538,16.59457,38.16618,-2.21209,-21.08232,2.64054,0.00295,-33.57542,11.8308,42.85714,0.0,42.85714,-11.37644,0.43003,-4.02569,-32.60974,-15.77894,-30.1981,96.1647910931436,96.36963339704722,94.56545951494402,94.77030181884766,183903000,0.449236784,547980483.5,1,0.030260270446965887
20111221,54.45273,59.06416,-0.06078,60.3328,51.91429,-0.12503,-0.13673,1.58721,5.22221,-16.07466,10.30341,28.57143,85.71429,-57.14286,16.86788,29.17713,6.64817,-21.5532,38.57781,-17.8524,97.63806647736564,97.97684157846024,96.70840499139489,97.8271484375,194230900,0.428636389,1417896318.0,1,0.008858638008485187
20111222,56.99014,63.99293,0.91792,72.74821,61.78238,0.87941,0.03622,0.71567,15.71122,-3.97492,10.08952,21.42857,78.57143,-57.14286,20.17521,27.02025,-16.35782,-15.98894,45.26391,-5.42208,98.18954125151949,98.79618786903416,97.87440670875488,98.69376373291016,119465400,0.4316862,1681798898.0,1,0.008940870311500815
20111227,59.68936,68.90377,2.59313,86.04376,81.15942,2.46045,32.18047,0.09111,2.21376,14.07426,10.78155,100.0,64.28571,35.71429,18.20305,6.27793,-23.74864,-18.09996,14.17883,-10.56705,99.40282650843488,99.91492914650136,99.31616270764798,99.65493774414062,86075700,0.435375215,1823359678.0,0,-0.013123516112268474
20111228,54.3414,55.15909,2.10575,74.39767,77.67033,1.97596,29.96217,4e-05,-0.02806,-5.34549,10.39905,92.85714,57.14286,35.71429,-3.11837,-32.86064,-28.5942,-33.84463,0.96793,-8.68014,99.67070007973442,99.68645440255489,98.26833092727368,98.34711456298828,119107100,0.454748361,1420172304.0,1,0.010334234691095068
20111229,57.52624,62.02673,2.23563,73.9231,81.67725,2.06281,26.4335,0.04986,-0.53965,6.94949,10.04387,85.71429,50.0,35.71429,5.67263,-16.6847,0.30755,-26.0517,-17.65048,7.08173,98.6701461870016,99.46587486897944,98.37076591564296,99.36345672607422,123507200,0.440780529,1770650321.0,0,-0.004916012394877711
20111230,55.52171,57.12129,2.13508,61.56302,81.30478,1.72244,19.27074,0.21373,-3.76022,-5.76114,9.75774,78.57143,42.85714,35.71429,-2.63963,-25.06587,2.50549,-29.50853,-20.46439,10.39066,99.28466330813262,99.52890042551938,98.87498474121094,98.87498474121094,95599000,0.429171329,1555835281.0,1,0.015936428364083266
20120109,61.11944,67.61157,2.68199,78.7551,92.21595,1.99572,10.66371,15.90206,0.27477,1.30154,11.90622,71.42857,7.14286,64.28571,6.52298,-2.1937,-15.7345,-37.95672,-46.54166,8.96353,100.84459885727144,100.98640580404026,100.37977116960084,100.86035919189452,99530200,0.443140449,2099565270.0,1,0.008670595218491117
20120112,65.03888,75.6789,2.95077,85.57923,94.25635,1.93558,21.56782,35.30855,-0.01766,6.08233,14.43368,100.0,0.0,100.0,11.05636,-6.10799,2.90203,-41.50003,-17.04772,16.32148,102.08152172423918,102.18393384030452,101.27002682216636,102.03424072265624,118983700,0.453079734,2400086675.0,0,-0.0051733115833964005
